,instant,weathersit,casual,registered,count
0,1,2,331,654,985
1,2,2,131,670,801
2,3,1,120,1229,1349
3,4,1,108,1454,1562
4,5,1,82,1518,1600
5,6,1,88,1518,1606
6,7,2,148,1362,1510
7,8,2,68,891,959
8,9,1,54,768,822
9,10,1,41,1280,1321
10,11,2,43,1220,1263
11,12,1,25,1137,1162
12,13,1,38,1368,1406
13,14,1,54,1367,1421
14,15,2,222,1026,1248
15,16,1,251,953,1204
16,17,2,117,883,1000
17,18,2,9,674,683
18,19,2,78,1572,1650
19,20,2,83,1844,1927
20,21,1,75,1468,1543
21,22,1,93,888,981
22,23,1,150,836,986
23,24,1,86,1330,1416
24,25,2,186,1799,1985
25,26,3,34,472,506
26,27,1,15,416,431
27,28,2,38,1129,1167
28,29,1,123,975,1098
29,30,1,140,956,1096
30,31,2,42,1459,1501
31,32,2,47,1313,1360
32,33,2,72,1454,1526
33,34,1,61,1489,1550
34,35,2,88,1620,1708
35,36,2,100,905,1005
36,37,1,354,1269,1623
37,38,1,120,1592,1712
38,39,1,64,1466,1530
39,40,2,53,1552,1605
40,41,1,47,1491,1538
41,42,1,149,1597,1746
42,43,1,288,1184,1472
43,44,1,397,1192,1589
44,45,1,208,1705,1913
45,46,1,140,1675,1815
46,47,1,218,1897,2115
47,48,1,259,2216,2475
48,49,1,579,2348,2927
49,50,1,532,1103,1635
50,51,1,639,1173,1812
51,52,2,195,912,1107
52,53,1,74,1376,1450
53,54,1,139,1778,1917
54,55,2,100,1707,1807
55,56,2,120,1341,1461
56,57,1,424,1545,1969
57,58,1,694,1708,2402
58,59,2,81,1365,1446
59,60,1,137,1714,1851
60,61,1,231,1903,2134
61,62,1,123,1562,1685
62,63,2,214,1730,1944
63,64,2,640,1437,2077
64,65,2,114,491,605
65,66,1,244,1628,1872
66,67,1,316,1817,2133
67,68,2,191,1700,1891
68,69,3,46,577,623
69,70,2,247,1730,1977
70,71,1,724,1408,2132
71,72,1,982,1435,2417
72,73,1,359,1687,2046
73,74,2,289,1767,2056
74,75,2,321,1871,2192
75,76,1,424,2320,2744
76,77,1,884,2355,3239
77,78,1,1424,1693,3117
78,79,1,1047,1424,2471
79,80,2,401,1676,2077
80,81,1,460,2243,2703
81,82,2,203,1918,2121
82,83,2,166,1699,1865
83,84,1,300,1910,2210
84,85,1,981,1515,2496
85,86,2,472,1221,1693
86,87,1,222,1806,2028
87,88,1,317,2108,2425
88,89,2,168,1368,1536
89,90,3,179,1506,1685
90,91,2,307,1920,2227
91,92,2,898,1354,2252
92,93,1,1651,1598,3249
93,94,1,734,2381,3115
94,95,2,167,1628,1795
95,96,1,413,2395,2808
96,97,1,571,2570,3141
97,98,2,172,1299,1471
98,99,2,879,1576,2455
99,100,2,1188,1707,2895
100,101,2,855,2493,3348
101,102,2,257,1777,2034
102,103,2,209,1953,2162
103,104,1,529,2738,3267
104,105,1,642,2484,3126
105,106,3,121,674,795
106,107,1,1558,2186,3744
107,108,1,669,2760,3429
108,109,2,409,2795,3204
109,110,1,613,3331,3944
110,111,1,745,3444,4189
111,112,2,177,1506,1683
112,113,2,1462,2574,4036
113,114,2,1710,2481,4191
114,115,1,773,3300,4073
115,116,1,678,3722,4400
116,117,2,547,3325,3872
117,118,2,569,3489,4058
118,119,1,878,3717,4595
119,120,1,1965,3347,5312
120,121,2,1138,2213,3351
121,122,2,847,3554,4401
122,123,2,603,3848,4451
123,124,2,255,2378,2633
124,125,1,614,3819,4433
125,126,1,894,3714,4608
126,127,1,1612,3102,4714
127,128,1,1401,2932,4333
128,129,1,664,3698,4362
129,130,1,694,4109,4803
130,131,1,550,3632,4182
131,132,1,695,4169,4864
132,133,2,692,3413,4105
133,134,2,902,2507,3409
134,135,2,1582,2971,4553
135,136,1,773,3185,3958
136,137,2,678,3445,4123
137,138,2,536,3319,3855
138,139,2,735,3840,4575
139,140,1,909,4008,4917
140,141,1,2258,3547,5805
141,142,1,1576,3084,4660
142,143,2,836,3438,4274
143,144,2,659,3833,4492
144,145,1,740,4238,4978
145,146,1,758,3919,4677
146,147,1,871,3808,4679
147,148,1,2001,2757,4758
148,149,1,2355,2433,4788
149,150,1,1549,2549,4098
150,151,1,673,3309,3982
151,152,2,513,3461,3974
152,153,1,736,4232,4968
153,154,1,898,4414,5312
154,155,1,1869,3473,5342
155,156,2,1685,3221,4906
156,157,1,673,3875,4548
157,158,1,763,4070,4833
158,159,1,676,3725,4401
159,160,2,563,3352,3915
160,161,1,815,3771,4586
161,162,1,1729,3237,4966
162,163,1,1467,2993,4460
163,164,1,863,4157,5020
164,165,1,727,4164,4891
165,166,1,769,4411,5180
166,167,2,545,3222,3767
167,168,1,863,3981,4844
168,169,1,1807,3312,5119
169,170,2,1639,3105,4744
170,171,2,699,3311,4010
171,172,2,774,4061,4835
172,173,1,661,3846,4507
173,174,2,746,4044,4790
174,175,1,969,4022,4991
175,176,1,1782,3420,5202
176,177,1,1920,3385,5305
177,178,2,854,3854,4708
178,179,1,732,3916,4648
179,180,1,848,4377,5225
180,181,1,1027,4488,5515
181,182,1,1246,4116,5362
182,183,1,2204,2915,5119
183,184,2,2282,2367,4649
184,185,2,3065,2978,6043
185,186,1,1031,3634,4665
186,187,1,784,3845,4629
187,188,1,754,3838,4592
188,189,2,692,3348,4040
189,190,1,1988,3348,5336
190,191,1,1743,3138,4881
191,192,1,723,3363,4086
192,193,1,662,3596,4258
193,194,1,748,3594,4342
194,195,1,888,4196,5084
195,196,1,1318,4220,5538
196,197,1,2418,3505,5923
197,198,1,2006,3296,5302
198,199,1,841,3617,4458
199,200,1,752,3789,4541
200,201,1,644,3688,4332
201,202,2,632,3152,3784
202,203,1,562,2825,3387
203,204,1,987,2298,3285
204,205,1,1050,2556,3606
205,206,1,568,3272,3840
206,207,1,750,3840,4590
207,208,1,755,3901,4656
208,209,1,606,3784,4390
209,210,1,670,3176,3846
210,211,1,1559,2916,4475
211,212,1,1524,2778,4302
212,213,1,729,3537,4266
213,214,1,801,4044,4845
214,215,2,467,3107,3574
215,216,2,799,3777,4576
216,217,1,1023,3843,4866
217,218,2,1521,2773,4294
218,219,1,1298,2487,3785
219,220,1,846,3480,4326
220,221,1,907,3695,4602
221,222,1,884,3896,4780
222,223,1,812,3980,4792
223,224,1,1051,3854,4905
224,225,2,1504,2646,4150
225,226,2,1338,2482,3820
226,227,1,775,3563,4338
227,228,1,721,4004,4725
228,229,1,668,4026,4694
229,230,1,639,3166,3805
230,231,2,797,3356,4153
231,232,1,1914,3277,5191
232,233,1,1249,2624,3873
233,234,1,833,3925,4758
234,235,1,1281,4614,5895
235,236,1,949,4181,5130
236,237,2,435,3107,3542
237,238,1,768,3893,4661
238,239,2,226,889,1115
239,240,1,1415,2919,4334
240,241,1,729,3905,4634
241,242,1,775,4429,5204
242,243,1,688,4370,5058
243,244,1,783,4332,5115
244,245,2,875,3852,4727
245,246,1,1935,2549,4484
246,247,1,2521,2419,4940
247,248,2,1236,2115,3351
248,249,3,204,2506,2710
249,250,3,118,1878,1996
250,251,3,153,1689,1842
251,252,2,417,3127,3544
252,253,1,1750,3595,5345
253,254,1,1633,3413,5046
254,255,1,690,4023,4713
255,256,1,701,4062,4763
256,257,1,647,4138,4785
257,258,2,428,3231,3659
258,259,2,742,4018,4760
259,260,2,1434,3077,4511
260,261,1,1353,2921,4274
261,262,2,691,3848,4539
262,263,2,438,3203,3641
263,264,2,539,3813,4352
264,265,2,555,4240,4795
265,266,2,258,2137,2395
266,267,2,1776,3647,5423
267,268,2,1544,3466,5010
268,269,2,684,3946,4630
269,270,2,477,3643,4120
270,271,2,480,3427,3907
271,272,1,653,4186,4839
272,273,1,830,4372,5202
273,274,2,480,1949,2429
274,275,2,616,2302,2918
275,276,2,330,3240,3570
276,277,1,486,3970,4456
277,278,1,559,4267,4826
278,279,1,639,4126,4765
279,280,1,949,4036,4985
280,281,1,2235,3174,5409
281,282,1,2397,3114,5511
282,283,1,1514,3603,5117
283,284,2,667,3896,4563
284,285,3,217,2199,2416
285,286,2,290,2623,2913
286,287,2,529,3115,3644
287,288,1,1899,3318,5217
288,289,1,1748,3293,5041
289,290,1,713,3857,4570
290,291,2,637,4111,4748
291,292,3,254,2170,2424
292,293,1,471,3724,4195
293,294,1,676,3628,4304
294,295,1,1499,2809,4308
295,296,1,1619,2762,4381
296,297,1,699,3488,4187
297,298,1,695,3992,4687
298,299,2,404,3490,3894
299,300,2,240,2419,2659
300,301,2,456,3291,3747
301,302,3,57,570,627
302,303,1,885,2446,3331
303,304,1,362,3307,3669
304,305,1,410,3658,4068
305,306,1,370,3816,4186
306,307,1,318,3656,3974
307,308,2,470,3576,4046
308,309,1,1156,2770,3926
309,310,1,952,2697,3649
310,311,1,373,3662,4035
311,312,1,376,3829,4205
312,313,1,305,3804,4109
313,314,2,190,2743,2933
314,315,1,440,2928,3368
315,316,1,1275,2792,4067
316,317,1,1004,2713,3717
317,318,1,595,3891,4486
318,319,2,449,3746,4195
319,320,3,145,1672,1817
320,321,2,139,2914,3053
